,,,By Feature/Component/API,,,,,,Estimate Duration Units,,Hours,,,6,hrs/day,,,,,,,,,
3,TRUE,Research & Design,"Document preprocessing (layout normalization, page extraction)
",,,,,,,1.0,3.0,4.0,6.0,4.17,0.25,0.50,6,,3,4,6,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Integrate Mistral OCR for PDF/image extraction
",,,,,,,1.0,5.0,6.0,7.0,6.00,0.11,0.33,7,,5,6,7,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"OCR confidence scoring & metadata extraction
",,,,,,,1.0,2.0,3.0,5.0,3.17,0.25,0.50,5,,2,3,5,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Store extracted output to DynamoDB
",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,Research & Design,Google Maps Geocoding API integration (address → coordinates),,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,Research & Design,Rate limit handling & cost monitoring for geocoding API,,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,,,
3,TRUE,#REF!,AI Validation & Business Rules Engine,,,,,,,,,,,,Feature Effort,,58 Hours,,,,,,,
3,TRUE,#REF!, Food & Cab Validation,,,,,,,,,,,0.00,0.00,0.00,0,,0.0,0,0,#REF!,#REF!,#REF!
3,TRUE,#REF!,AI bill categorization (Food vs Cab),,,,,,,1.0,3.0,3.0,4.0,3.17,0.03,0.17,4,,3,3,4,#REF!,#REF!,#REF!
3,TRUE,#REF!,Vendor & address validation (Kickdrum + Google Maps API),,,,,,,1.0,3.0,4.0,5.0,4.00,0.11,0.33,5,,3,4,5,#REF!,#REF!,#REF!
3,TRUE,#REF!,Cost threshold validation (>₹2500),,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,#REF!,"Date & working day validation
",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,#REF!,Food type filtering (beverage/blocked items),,,,,,,1.0,3.0,4.0,5.0,4.00,0.11,0.33,5,,3,4,5,#REF!,#REF!,#REF!
3,TRUE,#REF!,Gym Validation,,,,,,,,,,,0.00,0.00,0.00,0,,0,0,0,,,
3,TRUE,#REF!,Billing period extraction & validation,,,,,,,1.0,3.0,3.0,4.0,3.17,0.03,0.17,4,,3,3,4,,,
3,TRUE,#REF!,Membership frequency validation,,,,,,,1.0,3.0,3.0,4.0,3.17,0.03,0.17,4,,3,3,4,,,
,TRUE,,"Name fuzzy matching (employee vs invoice)
",,,,,,,1.0,3.0,4.0,5.0,4.00,0.11,0.33,5,,3,4,5,,,
,TRUE,,Reimbursement cap calculation logic,,,,,,,1.0,2.0,3.0,5.0,3.17,0.25,0.50,5,,2,3,5,,,
,TRUE,,Dynamic Rule Engine (YAML),,,,,,,,,,,0.00,0.00,0.00,0,,0,0,0,,,
,FALSE,,YAML rule schema design,,,,,,,1.0,3.0,4.0,6.0,4.17,0.25,0.50,6,,0,0,0,,,
,FALSE,,AI rule context integration,,,,,,,1.0,3.0,4.0,6.0,4.17,0.25,0.50,6,,0,0,0,,,
,FALSE,,Rule-based violation detection,,,,,,,1.0,3.0,4.0,6.0,4.17,0.25,0.50,6,,0,0,0,,,
3,TRUE,,"Output, Audit & Manual Review Workflow",,,,,,,,,,,,Feature Effort,,22 Hours,,,,,,,
3,TRUE,,"Structured output storage in S3 (Parquet/JSON)
",,,,,,,1.0,3.0,4.0,6.0,4.17,0.25,0.50,6,,3,4,6,#REF!,#REF!,#REF!
3,TRUE,,"Partitioning by year/month/employee
",,,,,,,1.0,2.0,3.0,5.0,3.17,0.25,0.50,5,,2.0,3,5,#REF!,#REF!,#REF!
3,TRUE,,"Flagging low-confidence & policy-violating bills
",,,,,,,1.0,1.0,2.0,2.0,1.83,0.03,0.17,3,,1,2,3,#REF!,#REF!,#REF!
3,TRUE,, Slack notification to HR Ops (channel delivery),,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,,Audit trail logging (reason codes),,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,,"Observability, Security & Reliability",,,,,,,,,,,,Feature Effort,,21 Hours,,,,,,,
3,TRUE,,"CloudWatch logs & metrics setup
",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2.0,3,4,#REF!,#REF!,#REF!
3,TRUE,,"Error alerts (SNS/Slack/Email)
",,,,,,,1.0,3.0,4.0,5.0,4.00,0.11,0.33,5,,3,4,5,#REF!,#REF!,#REF!
3,TRUE,,"Encryption (S3 SSE-KMS, TLS config)
",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,,"Idempotency checkpoints & retry strategy
",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,,"Secrets Manager integration (Keka, Google Sheets, Maps API keys)",,,,,,,1.0,2.0,3.0,4.0,3.00,0.11,0.33,4,,2.0,3,4,#REF!,#REF!,#REF!
